id,file_path,label,predicted_label,confidence,split,source,annotator,status,reasons,recommendation
1,butterfly_000001.jpeg,butterfly,butterfly,0.918,train,animals10,ann_4,rare_class_candidate,rare_class;class_deficit,add_to_next_train
2,butterfly_000002.jpeg,butterfly,butterfly,0.972,train,animals10,ann_1,rare_class_candidate,rare_class;class_deficit,add_to_next_train
3,butterfly_000003.jpeg,butterfly,butterfly,0.902,train,animals10,ann_2,rare_class_candidate,rare_class;class_deficit,add_to_next_train
4,butterfly_000004.jpeg,butterfly,butterfly,0.917,train,animals10,ann_4,rare_class_candidate,rare_class;class_deficit,add_to_next_train
6,butterfly_000006.jpeg,butterfly,butterfly,0.917,train,animals10,ann_4,rare_class_candidate,rare_class;class_deficit,add_to_next_train
7,butterfly_000007.jpeg,butterfly,butterfly,0.942,train,animals10,ann_2,rare_class_candidate,rare_class;class_deficit,add_to_next_train
8,butterfly_000008.jpeg,butterfly,butterfly,0.924,train,animals10,ann_2,rare_class_candidate,rare_class;class_deficit,add_to_next_train
11,butterfly_000011.jpeg,butterfly,butterfly,0.967,train,animals10,ann_4,rare_class_candidate,rare_class;class_deficit,add_to_next_train
12,butterfly_000012.jpeg,butterfly,butterfly,0.832,train,animals10,ann_2,hard_example,too_bright;high_entropy;rare_class;class_deficit,send_to_review
13,butterfly_000013.jpeg,butterfly,butterfly,0.834,train,animals10,ann_3,hard_example,high_entropy;rare_class;class_deficit,send_to_review
14,butterfly_000014.jpg,butterfly,butterfly,0.908,train,animals10,ann_3,rare_class_candidate,rare_class;class_deficit,add_to_next_train
15,butterfly_000015.jpeg,butterfly,butterfly,0.934,train,animals10,ann_2,rare_class_candidate,rare_class;class_deficit,add_to_next_train
16,butterfly_000016.jpeg,butterfly,butterfly,0.839,train,animals10,ann_2,hard_example,high_entropy;rare_class;class_deficit,send_to_review
17,butterfly_000017.jpg,butterfly,butterfly,0.899,train,animals10,ann_3,rare_class_candidate,rare_class;class_deficit,add_to_next_train
