id,file_path,resolved_path,label,predicted_label,confidence,status,reasons,recommendation,object_utility_score,final_score,entropy,uncertainty_score,label_error_probability,quality_score,quality_reasons,blur_score,brightness,contrast,width,height,duplicate_score,duplicate_group_id,duplicate_neighbor_id,duplicate_distance,class_deficit_score,dataset_readiness_score,prob_butterfly,prob_cat,prob_chicken,prob_cow,prob_dog,prob_elephant,prob_horse,prob_sheep,prob_spider,prob_squirrel
328,chicken_000328.jpeg,data/demo/images/chicken_000328.jpeg,spider,chicken,0.978,suspected_label_error,model_disagreement;suspected_label_error;rare_class;class_deficit;valuable_for_training,recheck_label,0.5745,0.5745,0.15406281841560157,0.0,0.978,1.0,,2880.222284491922,125.27054761904762,54.97449230312025,280,300,0.0,,,,0.9,96.94892361111111,0.0024444444444444466,0.0024444444444444466,0.978,0.0024444444444444466,0.0024444444444444466,0.0024444444444444466,0.0024444444444444466,0.0024444444444444466,0.0024444444444444466,0.0024444444444444466
444,cow_000444.jpeg,data/demo/images/cow_000444.jpeg,horse,cow,0.975,suspected_label_error,model_disagreement;suspected_label_error;rare_class;class_deficit;valuable_for_training,recheck_label,0.5734166666666667,0.5734166666666667,0.1718374535709383,0.0,0.975,1.0,,288.21196530555557,112.45163333333333,40.22794875040928,300,200,0.0,,,,0.8983333333333333,96.94892361111111,0.00277777777777778,0.00277777777777778,0.00277777777777778,0.975,0.00277777777777778,0.00277777777777778,0.00277777777777778,0.00277777777777778,0.00277777777777778,0.00277777777777778
260,chicken_000260.jpeg,data/demo/images/chicken_000260.jpeg,elephant,chicken,0.975,suspected_label_error,model_disagreement;suspected_label_error;rare_class;class_deficit;valuable_for_training,recheck_label,0.5730833333333334,0.5730833333333334,0.1718374535709383,0.0,0.975,1.0,,5490.678034915556,128.32802962962964,37.28306472221139,300,225,0.0,,,,0.8966666666666667,96.94892361111111,0.00277777777777778,0.00277777777777778,0.975,0.00277777777777778,0.00277777777777778,0.00277777777777778,0.00277777777777778,0.00277777777777778,0.00277777777777778,0.00277777777777778
370,cow_000370.jpeg,data/demo/images/cow_000370.jpeg,sheep,cow,0.969,suspected_label_error,model_disagreement;suspected_label_error;rare_class;class_deficit;valuable_for_training,recheck_label,0.5725833333333333,0.5725833333333333,0.2063152186183693,0.0,0.969,1.0,,1976.719415948347,151.62480303030304,62.81673247431039,300,220,0.0,,,,0.9016666666666666,96.94892361111111,0.0034444444444444475,0.0034444444444444475,0.0034444444444444475,0.969,0.0034444444444444475,0.0034444444444444475,0.0034444444444444475,0.0034444444444444475,0.0034444444444444475,0.0034444444444444475
418,cow_000418.jpeg,data/demo/images/cow_000418.jpeg,cat,cow,0.967,suspected_label_error,model_disagreement;suspected_label_error;rare_class;class_deficit;valuable_for_training,recheck_label,0.5724166666666667,0.5724166666666667,0.2175289854025043,0.0,0.967,1.0,,1923.3929672317656,129.13505279034692,48.600394255909,300,221,0.0,,,,0.9033333333333333,96.94892361111111,0.00366666666666667,0.00366666666666667,0.00366666666666667,0.967,0.00366666666666667,0.00366666666666667,0.00366666666666667,0.00366666666666667,0.00366666666666667,0.00366666666666667
266,chicken_000266.jpeg,data/demo/images/chicken_000266.jpeg,elephant,chicken,0.97,suspected_label_error,model_disagreement;suspected_label_error;rare_class;class_deficit;valuable_for_training,recheck_label,0.5718333333333333,0.5718333333333333,0.20065889549985488,0.0,0.97,1.0,,1390.196805246275,120.58254180602006,52.62701912760375,299,300,0.0,,,,0.8966666666666667,96.94892361111111,0.003333333333333336,0.003333333333333336,0.97,0.003333333333333336,0.003333333333333336,0.003333333333333336,0.003333333333333336,0.003333333333333336,0.003333333333333336,0.003333333333333336
327,chicken_000327.jpeg,data/demo/images/chicken_000327.jpeg,sheep,chicken,0.964,suspected_label_error,model_disagreement;suspected_label_error;rare_class;class_deficit;valuable_for_training,recheck_label,0.5713333333333334,0.5713333333333334,0.2341166639772564,0.0,0.964,1.0,,5946.980561472716,103.74042307692308,77.1284243179499,300,260,0.0,,,,0.9016666666666666,96.94892361111111,0.0040000000000000036,0.0040000000000000036,0.964,0.0040000000000000036,0.0040000000000000036,0.0040000000000000036,0.0040000000000000036,0.0040000000000000036,0.0040000000000000036,0.0040000000000000036
1139,squirrel_001139.jpeg,data/demo/images/squirrel_001139.jpeg,horse,squirrel,0.966,suspected_label_error,model_disagreement;suspected_label_error;rare_class;class_deficit;valuable_for_training,recheck_label,0.5711666666666667,0.5711666666666667,0.223088382925328,0.0,0.966,1.0,,3424.2873481203706,172.61364814814814,53.52217756692855,300,180,0.0,,,,0.8983333333333333,96.94892361111111,0.003777777777777781,0.003777777777777781,0.003777777777777781,0.003777777777777781,0.003777777777777781,0.003777777777777781,0.003777777777777781,0.003777777777777781,0.003777777777777781,0.966
749,horse_000749.jpeg,data/demo/images/horse_000749.jpeg,butterfly,horse,0.965,suspected_label_error,model_disagreement;suspected_label_error;rare_class;class_deficit;valuable_for_training,recheck_label,0.5710833333333334,0.5710833333333334,0.22861732924465517,0.0,0.965,1.0,,1703.718288962622,125.98684603886397,68.86417910130184,300,223,0.0,,,,0.8991666666666667,96.94892361111111,0.0038888888888888922,0.0038888888888888922,0.0038888888888888922,0.0038888888888888922,0.0038888888888888922,0.0038888888888888922,0.965,0.0038888888888888922,0.0038888888888888922,0.0038888888888888922
440,cow_000440.jpeg,data/demo/images/cow_000440.jpeg,sheep,cow,0.962,suspected_label_error,model_disagreement;suspected_label_error;rare_class;class_deficit;valuable_for_training,recheck_label,0.5708333333333333,0.5708333333333333,0.24502962731090236,0.0,0.962,1.0,,6651.3472159122075,128.8396888888889,69.98642262753188,300,225,0.0,,,,0.9016666666666666,96.94892361111111,0.004222222222222226,0.004222222222222226,0.004222222222222226,0.962,0.004222222222222226,0.004222222222222226,0.004222222222222226,0.004222222222222226,0.004222222222222226,0.004222222222222226
