id,file_path,label,predicted_label,confidence,split,source,annotator,true_label_for_demo
1,butterfly_000001.jpeg,butterfly,butterfly,0.918,train,animals10,ann_4,butterfly
2,butterfly_000002.jpeg,butterfly,butterfly,0.972,train,animals10,ann_1,butterfly
3,butterfly_000003.jpeg,butterfly,butterfly,0.902,train,animals10,ann_2,butterfly
4,butterfly_000004.jpeg,butterfly,butterfly,0.917,train,animals10,ann_4,butterfly
5,butterfly_000005.jpeg,chicken,butterfly,0.923,train,animals10,ann_3,butterfly
6,butterfly_000006.jpeg,butterfly,butterfly,0.917,train,animals10,ann_4,butterfly
7,butterfly_000007.jpeg,butterfly,butterfly,0.942,train,animals10,ann_2,butterfly
8,butterfly_000008.jpeg,butterfly,butterfly,0.924,train,animals10,ann_2,butterfly
9,butterfly_000009.jpg,butterfly,chicken,0.565,train,animals10,ann_4,butterfly
10,butterfly_000010.png,butterfly,dog,0.612,train,animals10,ann_2,butterfly
11,butterfly_000011.jpeg,butterfly,butterfly,0.967,train,animals10,ann_4,butterfly
12,butterfly_000012.jpeg,butterfly,butterfly,0.832,train,animals10,ann_2,butterfly
13,butterfly_000013.jpeg,butterfly,butterfly,0.834,train,animals10,ann_3,butterfly
14,butterfly_000014.jpg,butterfly,butterfly,0.908,train,animals10,ann_3,butterfly
15,butterfly_000015.jpeg,butterfly,butterfly,0.934,train,animals10,ann_2,butterfly
16,butterfly_000016.jpeg,butterfly,butterfly,0.839,train,animals10,ann_2,butterfly
17,butterfly_000017.jpg,butterfly,butterfly,0.899,train,animals10,ann_3,butterfly
18,butterfly_000018.jpeg,butterfly,butterfly,0.949,train,animals10,ann_2,butterfly
19,butterfly_000019.jpeg,butterfly,dog,0.542,train,animals10,ann_4,butterfly
20,butterfly_000020.jpeg,butterfly,butterfly,0.952,train,animals10,ann_1,butterfly
21,butterfly_000021.jpeg,butterfly,butterfly,0.832,train,animals10,ann_4,butterfly
22,butterfly_000022.jpeg,butterfly,butterfly,0.96,train,animals10,ann_2,butterfly
23,butterfly_000023.jpeg,butterfly,butterfly,0.9,train,animals10,ann_1,butterfly
24,butterfly_000024.jpeg,butterfly,butterfly,0.869,train,animals10,ann_2,butterfly
25,butterfly_000025.jpeg,butterfly,butterfly,0.875,train,animals10,ann_3,butterfly
26,butterfly_000026.jpeg,butterfly,butterfly,0.922,train,animals10,ann_3,butterfly
27,butterfly_000027.jpeg,butterfly,butterfly,0.905,train,animals10,ann_2,butterfly
28,butterfly_000028.jpeg,butterfly,butterfly,0.847,train,animals10,ann_3,butterfly
29,butterfly_000029.jpeg,butterfly,butterfly,0.952,train,animals10,ann_1,butterfly
30,butterfly_000030.jpeg,butterfly,butterfly,0.943,train,animals10,ann_3,butterfly
31,butterfly_000031.jpeg,butterfly,butterfly,0.887,train,animals10,ann_1,butterfly
32,butterfly_000032.jpg,butterfly,butterfly,0.866,train,animals10,ann_3,butterfly
33,butterfly_000033.jpeg,butterfly,butterfly,0.93,train,animals10,ann_3,butterfly
34,butterfly_000034.jpg,butterfly,butterfly,0.845,train,animals10,ann_4,butterfly
35,butterfly_000035.jpeg,butterfly,butterfly,0.917,train,animals10,ann_3,butterfly
36,butterfly_000036.jpeg,butterfly,butterfly,0.978,train,animals10,ann_3,butterfly
37,butterfly_000037.jpeg,butterfly,butterfly,0.879,train,animals10,ann_1,butterfly
38,butterfly_000038.jpeg,butterfly,butterfly,0.863,train,animals10,ann_2,butterfly
39,butterfly_000039.jpeg,butterfly,horse,0.649,train,animals10,ann_4,butterfly
40,butterfly_000040.jpeg,butterfly,butterfly,0.846,train,animals10,ann_3,butterfly
41,butterfly_000041.jpg,butterfly,butterfly,0.85,train,animals10,ann_2,butterfly
42,butterfly_000042.jpeg,butterfly,butterfly,0.9,train,animals10,ann_3,butterfly
43,butterfly_000043.jpg,butterfly,horse,0.566,train,animals10,ann_2,butterfly
44,butterfly_000044.jpg,butterfly,butterfly,0.828,train,animals10,ann_4,butterfly
45,butterfly_000045.jpeg,butterfly,butterfly,0.928,train,animals10,ann_3,butterfly
46,butterfly_000046.jpeg,butterfly,butterfly,0.889,train,animals10,ann_3,butterfly
47,butterfly_000047.jpeg,butterfly,butterfly,0.879,train,animals10,ann_4,butterfly
48,butterfly_000048.jpeg,squirrel,butterfly,0.909,train,animals10,ann_1,butterfly
49,butterfly_000049.jpeg,butterfly,butterfly,0.908,train,animals10,ann_1,butterfly
50,butterfly_000050.jpeg,butterfly,elephant,0.633,train,animals10,ann_3,butterfly
51,butterfly_000051.jpeg,butterfly,butterfly,0.843,train,animals10,ann_4,butterfly
52,butterfly_000052.jpg,butterfly,chicken,0.614,train,animals10,ann_4,butterfly
53,butterfly_000053.jpeg,butterfly,butterfly,0.963,train,animals10,ann_2,butterfly
54,butterfly_000054.jpeg,butterfly,butterfly,0.846,train,animals10,ann_3,butterfly
55,butterfly_000055.jpeg,butterfly,butterfly,0.902,train,animals10,ann_4,butterfly
56,butterfly_000056.jpeg,butterfly,butterfly,0.951,train,animals10,ann_3,butterfly
57,butterfly_000057.jpeg,butterfly,horse,0.584,train,animals10,ann_1,butterfly
58,butterfly_000058.jpeg,butterfly,butterfly,0.925,train,animals10,ann_2,butterfly
59,butterfly_000059.jpg,butterfly,butterfly,0.847,train,animals10,ann_4,butterfly
60,butterfly_000060.jpeg,butterfly,butterfly,0.825,train,animals10,ann_1,butterfly
61,butterfly_000061.jpeg,butterfly,butterfly,0.887,train,animals10,ann_4,butterfly
62,butterfly_000062.jpeg,butterfly,butterfly,0.944,train,animals10,ann_4,butterfly
63,butterfly_000063.jpeg,butterfly,butterfly,0.83,train,animals10,ann_2,butterfly
64,butterfly_000064.jpeg,butterfly,butterfly,0.98,train,animals10,ann_4,butterfly
65,butterfly_000065.jpeg,butterfly,butterfly,0.848,train,animals10,ann_3,butterfly
66,butterfly_000066.jpeg,butterfly,butterfly,0.959,train,animals10,ann_3,butterfly
67,butterfly_000067.jpeg,butterfly,butterfly,0.859,train,animals10,ann_3,butterfly
68,butterfly_000068.jpg,butterfly,butterfly,0.868,train,animals10,ann_3,butterfly
69,butterfly_000069.jpg,butterfly,butterfly,0.898,train,animals10,ann_4,butterfly
70,butterfly_000070.jpg,butterfly,butterfly,0.947,train,animals10,ann_3,butterfly
71,butterfly_000071.jpeg,butterfly,butterfly,0.907,train,animals10,ann_4,butterfly
72,butterfly_000072.jpeg,butterfly,butterfly,0.949,train,animals10,ann_3,butterfly
73,butterfly_000073.jpeg,chicken,butterfly,0.891,train,animals10,ann_3,butterfly
74,butterfly_000074.jpg,butterfly,butterfly,0.952,train,animals10,ann_3,butterfly
75,butterfly_000075.jpg,butterfly,butterfly,0.842,train,animals10,ann_2,butterfly
76,butterfly_000076.jpeg,butterfly,butterfly,0.905,train,animals10,ann_2,butterfly
77,butterfly_000077.jpeg,sheep,butterfly,0.896,train,animals10,ann_2,butterfly
78,butterfly_000078.jpeg,squirrel,butterfly,0.845,train,animals10,ann_4,butterfly
79,butterfly_000079.jpeg,butterfly,butterfly,0.974,train,animals10,ann_3,butterfly
80,butterfly_000080.jpeg,butterfly,cat,0.6,train,animals10,ann_2,butterfly
81,butterfly_000081.jpeg,butterfly,butterfly,0.97,train,animals10,ann_2,butterfly
82,butterfly_000082.jpeg,butterfly,butterfly,0.969,train,animals10,ann_1,butterfly
83,butterfly_000083.jpeg,butterfly,butterfly,0.899,train,animals10,ann_3,butterfly
84,butterfly_000084.jpeg,butterfly,squirrel,0.589,train,animals10,ann_3,butterfly
85,butterfly_000085.jpg,butterfly,butterfly,0.907,train,animals10,ann_4,butterfly
86,butterfly_000086.jpg,butterfly,butterfly,0.901,train,animals10,ann_3,butterfly
87,butterfly_000087.jpeg,butterfly,chicken,0.618,train,animals10,ann_3,butterfly
88,butterfly_000088.jpeg,butterfly,elephant,0.632,train,animals10,ann_2,butterfly
89,butterfly_000089.jpg,butterfly,butterfly,0.964,train,animals10,ann_4,butterfly
90,butterfly_000090.jpg,butterfly,cat,0.492,train,animals10,ann_2,butterfly
91,butterfly_000091.jpeg,butterfly,butterfly,0.821,train,animals10,ann_4,butterfly
92,butterfly_000092.jpeg,butterfly,butterfly,0.973,train,animals10,ann_3,butterfly
93,butterfly_000093.jpeg,butterfly,butterfly,0.862,train,animals10,ann_3,butterfly
94,butterfly_000094.jpeg,butterfly,cat,0.557,train,animals10,ann_2,butterfly
95,butterfly_000095.jpeg,butterfly,butterfly,0.963,train,animals10,ann_3,butterfly
96,butterfly_000096.jpg,butterfly,butterfly,0.971,train,animals10,ann_3,butterfly
97,butterfly_000097.jpg,butterfly,butterfly,0.841,val,animals10,ann_2,butterfly
98,butterfly_000098.jpeg,butterfly,butterfly,0.88,val,animals10,ann_4,butterfly
99,butterfly_000099.jpeg,butterfly,butterfly,0.952,val,animals10,ann_2,butterfly
100,butterfly_000100.jpeg,butterfly,butterfly,0.946,val,animals10,ann_4,butterfly
101,butterfly_000101.jpeg,butterfly,butterfly,0.967,val,animals10,ann_1,butterfly
102,butterfly_000102.jpeg,butterfly,butterfly,0.901,val,animals10,ann_2,butterfly
103,butterfly_000103.jpeg,butterfly,butterfly,0.891,val,animals10,ann_2,butterfly
104,butterfly_000104.jpeg,butterfly,butterfly,0.964,val,animals10,ann_4,butterfly
105,butterfly_000105.jpeg,butterfly,butterfly,0.902,val,animals10,ann_4,butterfly
106,butterfly_000106.jpeg,butterfly,butterfly,0.928,val,animals10,ann_3,butterfly
107,butterfly_000107.jpeg,butterfly,butterfly,0.951,val,animals10,ann_2,butterfly
108,butterfly_000108.jpeg,butterfly,elephant,0.611,val,animals10,ann_1,butterfly
109,butterfly_000109.jpg,butterfly,butterfly,0.831,test,animals10,ann_4,butterfly
110,butterfly_000110.jpeg,butterfly,horse,0.491,test,animals10,ann_2,butterfly
111,butterfly_000111.jpeg,butterfly,butterfly,0.977,test,animals10,ann_4,butterfly
112,butterfly_000112.jpeg,butterfly,butterfly,0.963,test,animals10,ann_4,butterfly
113,butterfly_000113.jpeg,butterfly,butterfly,0.965,test,animals10,ann_4,butterfly
114,butterfly_000114.jpeg,butterfly,spider,0.481,test,animals10,ann_3,butterfly
115,butterfly_000115.jpg,butterfly,spider,0.54,test,animals10,ann_2,butterfly
116,butterfly_000116.jpeg,butterfly,butterfly,0.856,test,animals10,ann_1,butterfly
117,butterfly_000117.jpeg,butterfly,butterfly,0.977,test,animals10,ann_4,butterfly
118,butterfly_000118.jpeg,butterfly,butterfly,0.907,test,animals10,ann_4,butterfly
119,butterfly_000119.jpeg,butterfly,butterfly,0.86,test,animals10,ann_3,butterfly
120,butterfly_000120.png,butterfly,butterfly,0.85,test,animals10,ann_1,butterfly
121,cat_000121.jpg,cat,cat,0.84,train,animals10,ann_1,cat
122,cat_000122.jpg,cat,cat,0.891,train,animals10,ann_4,cat
123,cat_000123.jpeg,cat,cat,0.846,train,animals10,ann_3,cat
124,cat_000124.jpeg,cat,cat,0.866,train,animals10,ann_4,cat
125,cat_000125.jpeg,dog,cat,0.924,train,animals10,ann_2,cat
126,cat_000126.jpeg,cat,cat,0.823,train,animals10,ann_1,cat
127,cat_000127.jpeg,cat,cat,0.848,train,animals10,ann_1,cat
128,cat_000128.jpg,cat,cat,0.971,train,animals10,ann_3,cat
129,cat_000129.jpeg,cat,cat,0.876,train,animals10,ann_3,cat
130,cat_000130.jpeg,cat,cat,0.903,train,animals10,ann_4,cat
